"","Name","Team","playerid","name_last","name_first","name_given","mlbid","birthday"
"608","Andrew Vasquez","Twins","19482","Vasquez","Andrew","Andrew Jude",607755,1993-09-14
"609","Dayan Diaz","Astros","11543","Diaz","Dayan","Dayan Enrique",500765,1989-02-10
"610","Chad Sobotka","Braves","17470","Sobotka","Chad","Chad Nicholas",656977,1993-07-10
"611","Victor Alcantara","Tigers","15028","Alcantara","Victor","Victor Alfonso",622505,1993-04-03
"612","Adam McCreery","Braves","19550","McCreery","Adam","Adam Glenn",607030,1992-12-31
"613","Tyler Cloyd","Mariners","8536","Cloyd","Tyler","Tyler James",543031,1987-05-16
"614","Yoan Lopez","Diamondbacks","17181","Lopez","Yoan","Yoan",661255,1993-01-02
"615","Brandon Workman","Red Sox","11428","Workman","Brandon","Brandon Carlin",519443,1988-08-13
"616","Reymin Guduan","Astros","13058","Guduan","Reymin","Reymin Yojairo",594056,1992-03-16
"617","Brandon Dixon","Reds","15214","Dixon","Brandon","Brandon Allen",641525,1992-01-29
"618","Andrew Kittredge","Rays","12828","Kittredge","Andrew","Andrew Michael",552640,1990-03-17
"619","Chad Bell","Tigers","10297","Bell","Chad","Chadwick Micah",518445,1989-02-28
"620","Mike Wright","Orioles","12586","Wright","Mike","Dennis Michael",605541,1990-01-03
"621","Alex Blandino","Reds","16271","Blandino","Alex","Alessandre",607468,1992-11-06
"622","J.D. Davis","Astros","16219","Davis","J. D.","Jonathan Gregory",605204,1993-04-27
"623","Braden Shipley","Diamondbacks","15158","Shipley","Braden","Braden Alec",640463,1992-02-22
"624","Fabio Castillo","Dodgers","2826","Castillo","Fabio","Fabio",503566,1989-02-19
"625","Brooks Pounders","Rockies","10387","Pounders","Brooks","Brooks Casey",572044,1990-09-26
"626","Pierce Johnson","Cubs","13435","Johnson","Pierce","Pierce William",572955,1991-05-10
"627","Ian Krol","Angels","10066","Krol","Ian","Ian A.",571871,1991-05-09
"628","Yohander Mendez","Rangers","14391","Mendez","Yohander","Yohander Manuel",622795,1995-01-17
"629","Alex Reyes","Cardinals","15015","Reyes","Alex","Alexander",621052,1994-08-29
"630","Matt Davidson","White Sox","7226","Davidson","Matt","Matthew Glen",571602,1991-03-26
"631","Pedro Beato","Phillies","1330","Beato","Pedro","Pedro",474039,1986-10-27
"632","Andrew Moore","Mariners","17553","Moore","Andrew","Andrew George",621058,1994-06-02
"633","Erik Kratz","Brewers","4403","Kratz","Erik","Erik Floyd",456124,1980-06-15
"634","Jorge De La Rosa","- - -","2047","De La Rosa","Jorge","Jorge Alberto",407822,1981-04-05
"635","T.J. House","Blue Jays","9121","House","T. J.","Glenn Anthony",543334,1989-09-29
"636","Ashur Tolliver","Astros","10044","Tolliver","Ashur","Ashur Jordan",572208,1988-01-24
"637","Jesus Sucre","Rays","5942","Sucre","Jesus","Jesus Marcelo",491696,1988-04-30
"638","Brett Nicholas","Rangers","11192","Nicholas","Brett","Brett James",592592,1988-07-18
"639","Ryan Rua","Rangers","12409","Rua","Ryan","Ryan Anthony",607387,1990-03-11
"640","Mitch Moreland","Red Sox","3086","Moreland","Mitch","Mitchell Austin",519048,1985-09-06
"641","Jon Jay","Cubs","5227","Jay","Jon","Jonathan Henry",445055,1985-03-15
"642","Thyago Vieira","Mariners","14510","Vieira","Thyago","Thyago da Silva",600986,1993-07-01
"643","Dan Slania","Giants","15639","Slania","Dan","Daniel Alexander",592753,1992-05-24
"644","Ray Black","Giants","14244","Black","Ray","Raymond Anthony",605143,1990-06-26
"645","Brian Flynn","Royals","12027","Flynn","Brian","Brian A.",543169,1990-04-19
"646","A.J. Griffin","Rangers","11132","Griffin","A. J.","Arthur Joseph",456167,1988-01-28
"647","Daniel Descalso","Diamondbacks","8392","Descalso","Daniel","Daniel William",518614,1986-10-19
"648","Sammy Solis","Nationals","11457","Solis","Sammy","Samuel Robert",519301,1988-08-10
"649","Danny Valencia","Orioles","6364","Valencia","Danny","Daniel Paul",502143,1984-09-19
"650","Osmer Morales","Angels","17133","Morales","Osmer","Osmer Eduardo",591672,1992-10-30
"651","Alex Avila","Diamondbacks","7476","Avila","Alex","Alexander Thomas",488671,1987-01-29
"652","John Means","Orioles","16269","Means","John","John Alan",607644,1993-04-24
"653","Aaron Slegers","Twins","15231","Slegers","Aaron","Aaron Allan",642083,1992-09-04
"654","Josh Rogers","Orioles","18510","Rogers","Josh","Joshua Cole",642028,1994-07-10
"655","Derek Law","Giants","13133","Law","Derek","Derek Robert",571882,1990-09-14
"656","Rob Whalen","Mariners","14165","Whalen","Robert","Robert D.",547007,1994-01-31
"657","Scott Kingery","Phillies","17975","Kingery","Scott","Scott M.",664068,1994-04-29
"658","Michael Martinez","Indians","7358",NA,NA,NA,NA,NA
"659","Mitch Garver","Twins","15161","Garver","Mitch","Mitchell Lyn",641598,1991-01-15
"660","Mike Freeman","Mariners","11241","Freeman","Mike","Michael Barrett",502273,1987-08-04
"661","Luis Sardinas","Padres","13153","Sardinas","Luis","Luis Alexander",596143,1993-05-16
"662","Brandon Guyer","Indians","2636","Guyer","Brandon","Brandon Eric",446386,1986-01-28
"663","Casey Sadler","Pirates","11209","Sadler","Casey","Casey Scott",594987,1990-07-13
"664","Daniel Robertson","Rays","14145","Robertson","Daniel","Daniel Ray",621002,1994-03-22
"665","Ian Happ","Cubs","17919","Happ","Ian","Ian Edward",664023,1994-08-12
"666","Greg Garcia","Cardinals","10951","Garcia","Greg","Greg Joseph",594824,1989-08-08
"667","Charlie Culberson","Braves","3298","Culberson","Charlie","Charles Edward",518586,1989-04-10
"668","Carlos Tocci","Rangers","14558","Tocci","Carlos","Carlos Daniel",624636,1995-08-23
"669","Pablo Sandoval","Giants","5409","Sandoval","Pablo","Pablo Emilio",467055,1986-08-11
"670","Chase d'Arnaud","Giants","6652","d'Arnaud","Chase","Chase Jonathan",488818,1987-01-21
"671","Phillip Ervin","Reds","14738","Ervin","Phil","Phillip S.",640447,1992-07-15
"672","Mark Reynolds","Nationals","7619","Reynolds","Mark","Mark Andrew",448602,1983-08-03
"673","Anthony Rizzo","Cubs","3473","Rizzo","Anthony","Anthony Vincent",519203,1989-08-08
"674","Jake Petricka","Blue Jays","10534","Petricka","Jake","Jacob Steven",502593,1988-06-05
"675","Jason Hursh","Braves","14914","Hursh","Jason","Jason Brewster",592422,1991-10-02
"676","Jose Ruiz","Padres","14552","Ruiz","Jose","Jose Rafael",614179,1994-10-21
"677","Eric Hanhold","Mets","18332","Hanhold","Eric","Eric Dru",621098,1993-11-01
"678","Shae Simmons","Mariners","14200","Simmons","Shae","Shae Austin",623406,1990-09-03
"679","Jake Esch","Padres","12756","Esch","Jake","Jacob Otto",605222,1990-03-27
"680","Matt Koch","Diamondbacks","13420","Koch","Matt","Matthew David",571863,1990-11-02
"681","Zack Weiss","Reds","15444","Weiss","Zack","Zachary D.",592848,1992-06-16
"682","Tyler Pill","Mets","12751","Pill","Tyler","Tyler Stephen",543652,1990-05-29
"683","Brandon Cumpton","Blue Jays","11366","Cumpton","Brandon","Brandon Tyler",592238,1988-11-16
"684","Chris Gimenez","Twins","7324","Gimenez","Chris","Christopher Paul",460269,1982-12-27
"685","Jake Barrett","Diamondbacks","13322","Barrett","Jake","Jake Dalton",545332,1991-07-22
"686","William Cuevas","Tigers","13331","Cuevas","William","William Enrique",571035,1990-10-14
"687","Josh Lucas","Athletics","11686","Lucas","Josh","Joshua Timothy",572998,1990-11-05
"688","Austin Adams","Nationals","13801","Adams","Austin","Austin Lance",613534,1991-05-05
"689","Jeremy Bleich","Athletics","9069","Bleich","Jeremy","Jeremy Michael",542946,1987-06-18
"690","Carson Fulmer","White Sox","18311","Fulmer","Carson","Carson Springer",608334,1993-12-13
"691","Tommy Layne","Yankees","7501","Layne","Tommy","Thomas Kevin",518927,1984-11-02
"692","Joey Krehbiel","Diamondbacks","13707","Krehbiel","Joey","Joseph Roland",607216,1992-12-20
"693","Aaron Brooks","Athletics","12272","Brooks","Aaron","Aaron Lee",605156,1990-04-27
"694","Erick Aybar","Padres","4082","Aybar","Erick","Erick Johan",430947,1984-01-14
"695","Hernan Perez","Brewers","5751","Perez","Hernan","Hernan Alejandro",541650,1991-03-26
"696","Jose Torres","Padres","14957",NA,NA,NA,NA,NA
"697","Jake Thompson","Phillies","14371","Thompson","Jake","Jacob Keith",622097,1994-01-31
"698","David Goforth","Brewers","12166","Goforth","David","David Paul",592341,1988-10-11
"699","Cody Martin","Mariners","12182","Martin","Cody","Cody Matthew",592533,1989-09-04
"700","Kendrys Morales","Blue Jays","8610","Morales","Kendrys","Kendrys",434778,1983-06-20
"701","Zac Curtis","- - -","16684","Curtis","Zac","Zachary Aaron",657205,1992-07-04
"702","Johnny Field","Rays","15048","Field","Johnny","John David",608654,1992-02-20
"703","Rob Scahill","White Sox","9286","Scahill","Rob","Robert Joseph",543746,1987-02-15
"704","Carter Capps","Padres","12803","Capps","Carter","Carter Lewis",605169,1990-08-07
"705","Murphy Smith","Blue Jays","9812","Smith","Murphy","Murphy",573166,1987-08-25
"706","Mike Zagurski","Brewers","9683","Zagurski","Mike","Michael Justin",489448,1983-01-27
"707","Tyler Kinley","- - -","18297","Kinley","Tyler","Tyler Harrison",641755,1991-01-31
"708","Cliff Pennington","Reds","3395","Pennington","Cliff","Clifton Randolph",460060,1984-06-15
"709","Taylor Jungmann","Brewers","13119","Jungmann","Taylor","Taylor Heath",543380,1989-12-18
"710","Josh Edgin","Mets","10796","Edgin","Josh","Joshua Wayne",572831,1986-12-17
"711","Cory Spangenberg","Padres","12294","Spangenberg","Cory","Cory Joseph",605486,1991-03-16
"712","Jairo Labourt","Tigers","14996","Labourt","Jairo","Jairo Snaider",607951,1994-03-07
"713","Austin Brice","Reds","17237","Brice","Austin","Austin Robert",592169,1992-06-19
"714","Brock Stewart","Dodgers","16727","Stewart","Brock","Brock Allen",592779,1991-10-03
"715","Luis Ortiz","Orioles","16942","Ortiz","Luis","Luis Francisco",656814,1995-09-22
"716","Craig Breslow","- - -","4363","Breslow","Craig","Craig Andrew",444520,1980-08-08
"717","Trey Wingenter","Padres","17793","Wingenter","Trey","Anthony James",622259,1994-04-15
"718","Marc Rzepczynski","Mariners","6612","Rzepczynski","Marc","Marc Walter",519240,1985-08-29
"719","Alex McRae","Pirates","16317","McRae","Alex","Alex James",656725,1993-04-06
"720","Zach Lee","Padres","11468","Lee","Zach","Zachary Stephen",545346,1991-09-13
"721","Damien Magnifico","Angels","13395","Magnifico","Damien","Damien Jack",571911,1991-05-24
"722","Arcenio Leon","Tigers","8846","Leon","Arcenio","Arcenio",455376,1986-09-22
"723","Max Povse","Mariners","16165","Povse","Max","Max Walter",605428,1993-08-23
"724","Jason Gurka","Angels","8007","Gurka","Jason","Jason Isidore",543261,1988-01-10
"725","Miguel Montero","Cubs","3364","Montero","Miguel","Miguel Angel",471083,1983-07-09
"726","Nori Aoki","Astros","13075","Aoki","Nori","Norichika",493114,1982-01-05
"727","Miguel Almonte","Royals","14139","Almonte","Miguel","Miguel Emilio",602083,1993-04-04
"728","Leonel Campos","Blue Jays","12277","Campos","Leonel","Leonel Enrique",599998,1987-07-17
"729","Sam Howard","Rockies","16265","Howard","Sam","Sam James",607572,1993-03-05
"730","Daniel Corcino","Dodgers","9266","Corcino","Daniel","Daniel",542289,1990-08-26
"731","J.J. Hoover","Diamondbacks","9037","Hoover","J. J.","James Allen",543331,1987-08-13
"732","Wily Peralta","Brewers","7738","Peralta","Wily","Wily",503449,1989-05-08
"733","Jose Fernandez","Blue Jays","14733","Fernandez","Jose","Jose Manuel",622774,1993-02-13
"734","Justin Haley","Twins","13572","Haley","Justin","Justin Case",595234,1991-06-16
"735","Troy Scribner","Diamondbacks","15570","Scribner","Troy","Troy Alex",644428,1991-07-02
"736","Stefan Crichton","Orioles","16058","Crichton","Stefan","Stefan Brook",592233,1992-02-29
"737","Jairo Diaz","Rockies","12774","Diaz","Jairo","Jairo Jose",545064,1991-05-27
"738","Jen-Ho Tseng","Cubs","15524","Tseng","Jen-Ho","Jen-Ho",627500,1994-10-03
"739","Ben Taylor","Indians","18114","Taylor","Ben","Benjamin Alan",664701,1992-11-12
"740","Chad Qualls","Rockies","2170",NA,NA,NA,NA,NA
"741","Jayson Aquino","Orioles","13150","Aquino","Jayson","Jayson Julio",593969,1992-11-22
"742","Chris Smith","Blue Jays","14449","Smith","Chris","Christopher Patrick",627262,1988-08-19
"743","Kyle McGowin","Nationals","15071","McGowin","Kyle","Kyle Keston",641851,1991-11-27
"744","Jerry Vasto","- - -","17126","Vasto","Jerry","Gerard Joseph",657786,1992-02-12
"745","Bryan Holaday","Marlins","11287","Holaday","Bryan","John Bryan",592407,1987-11-19
"746","Connor Sadzeck","Rangers","13483","Sadzeck","Connor","Connor William",592712,1991-10-01
"747","Matt Hall","Tigers","18076","Hall","Matt","Matthew Thomas",664180,1993-07-23
"748","Diego Moreno","Rays","6238","Moreno","Diego","Diego Rafael",514981,1987-07-21
"749","Drew Butera","Royals","3411","Butera","Drew","Andrew Edward",460077,1983-08-09
"750","Wei-Chung Wang","Brewers","14382","Wang","Wei-Chung","Wei-Chung",623913,1992-04-25
"751","Rubby de la Rosa","Diamondbacks","3862",NA,NA,NA,NA,NA
"752","Rob Zastryzny","Cubs","15094","Zastryzny","Rob","Robert John",642239,1992-03-26
"753","Austin Voth","Nationals","15047","Voth","Austin","Austin Lee",608723,1992-06-26
"754","Dan Altavilla","Mariners","16507","Altavilla","Dan","Daniel",656186,1992-09-08
"755","Jandel Gustave","Astros","14665",NA,NA,NA,NA,NA
"756","Lucas Harrell","Blue Jays","7541",NA,NA,NA,NA,NA
"757","Jace Peterson","Orioles","12325","Peterson","Jace","Jace Ryan",607054,1990-05-09
"758","Justin Hancock","Cubs","12316","Hancock","Justin","Justin D.",606995,1990-10-28
"759","Jose Ramirez","Braves","10171","Ramirez","Jose","Jose Altagracia",542432,1990-01-21
"760","Taylor Guerrieri","Blue Jays","13616","Guerrieri","Taylor","Christopher Taylor",605260,1992-12-01
"761","Casey Lawrence","Mariners","11121","Lawrence","Casey","Casey Lee",596271,1987-10-28
"762","Jake Jewell","Angels","16958","Jewell","Jake","Jake R.",657228,1993-05-16
"763","Ryan LaMarre","Twins","10700","LaMarre","Ryan","Ryan M.",534606,1988-11-21
"764","Josh Ravin","Braves","2951","Ravin","Josh","Joshua Joseph",502051,1988-01-21
"765","Jharel Cotton","Athletics","13654",NA,NA,NA,NA,NA
"766","Randy Rosario","Twins","14508","Rosario","Randy","Randy Miguel",600968,1994-05-18
"767","Andrew Romine","Tigers","1159","Romine","Andrew","Andrew James",461865,1985-12-24
"768","Dean Deetz","Astros","16687","Deetz","Dean","Dean A.",657209,1993-11-29
"769","Rob Brantly","White Sox","10655","Brantly","Rob","Robert Jacob",542963,1989-07-14
"770","Tyler White","Astros","15564","White","Tyler","Brian Tyler",643603,1990-10-29
"771","Glen Perkins","Twins","8041",NA,NA,NA,NA,NA
"772","Leonys Martin","Cubs","11846","Martin","Leonys","Leonys",547982,1988-03-06
"773","Tommy La Stella","Cubs","12371","La Stella","Tommy","Thomas F.",600303,1989-01-31
"774","Carlos Gomez","Rays","4881","Gomez","Carlos","Carlos Argelis",460576,1985-12-04
"775","Luke Gregerson","Astros","4090","Gregerson","Luke","Lucas John",502381,1984-05-14
"776","Andres Blanco","Phillies","1907","Blanco","Andres","Andres Eloy",433217,1984-04-11
"777","Victor Caratini","Cubs","14968","Caratini","Victor","Victor Manuel",605170,1993-08-17
"778","Jake Smolinski","Athletics","5408","Smolinski","Jake","Jacob Michael",519295,1989-02-09
"779","Jackson Stephens","Reds","14420","Stephens","Jackson","Jackson Tanner",623451,1994-05-11
"780","Kyle Lloyd","Padres","15378","Lloyd","Kyle","Kyle Christopher",643414,1990-10-16
"781","Pedro Florimon","Phillies","8385","Florimon","Pedro","Pedro Alexander",465753,1986-12-10
"782","Adrian Sampson","Rangers","13339","Sampson","Adrian","Adrian David",592716,1991-10-07
"783","Jonathan Broxton","Cardinals","4759",NA,NA,NA,NA,NA
"784","Duane Underwood Jr.","Cubs","14677","Underwood","Duane","Duane Lee",621249,1994-07-20
"785","Zach Neal","Dodgers","11294","Neal","Zach","Zachary Sheridan",594943,1988-11-09
"786","Jean Machi","Mariners","3220","Machi","Jean","Jean Manuel",466948,1982-02-01
"787","Keury Mella","Reds","15964","Mella","Keury","Keury",622492,1993-08-02
"788","Justin Marks","Rays","10265",NA,NA,NA,NA,NA
"789","Jesus Reyes","Reds","19277","Reyes","Jesus","Jesus Enmanuel",660875,1993-02-21
"790","Tim Melville","- - -","9149","Melville","Tim","Timothy Macgill",543532,1989-10-09
"791","Tyler Wilson","Orioles","12691","Wilson","Tyler","Philip Tyler",592869,1989-09-25
"792","Luis Santos","Blue Jays","15006","Santos","Luis","Luis Gustavo",608601,1991-02-11
"793","Seth Frankoff","Cubs","11346","Frankoff","Seth","James Seth",571676,1988-08-27
"794","Nick Burdi","Pirates","16074","Burdi","Nick","Nicholas Edward",595897,1993-01-19
"795","Jedd Gyorko","Cardinals","10816","Gyorko","Jedd","Jedd Lindon",576397,1988-09-23
"796","Carlos Ruiz","Mariners","2579",NA,NA,NA,NA,NA
"797","Jesmuel Valentin","Phillies","14548","Valentin","Jesmuel","Jesmuel Jose",621044,1994-05-12
"798","Michael Kopech","White Sox","17282","Kopech","Michael","Michael Talbert",656629,1996-04-30
"799","Taylor Motter","Mariners","12399","Motter","Taylor","Taylor Davis",600301,1989-09-18
"800","Kazuhisa Makita","Padres","19757","Makita","Kazuhisa","Kazuhisa",628318,1984-11-10
"801","Allen Webster","Cubs","3993","Webster","Allen","Carl Allen",543903,1990-02-10
"802","Scooter Gennett","Reds","10339","Gennett","Scooter","Ryan Joseph",571697,1990-05-01
"803","David Hess","Orioles","16130","Hess","David","David James",605276,1993-07-10
"804","Neil Ramirez","- - -","7677","Ramirez","Neil","Neil Andrew",519166,1989-05-25
"805","Alexi Ogando","Indians","10261","Ogando","Alexi","Alexi",468396,1983-10-05
"806","Dean Kiekhefer","Athletics","10529","Kiekhefer","Dean","Dean Allen",518883,1989-06-07
"807","Ryan Garton","- - -","14016","Garton","Ryan","Ryan Patrick",623439,1989-12-05
"808","Roman Quinn","Phillies","13546","Quinn","Roman","Roman Tredarian",596451,1993-05-14
"809","Jon Edwards","Indians","1483","Edwards","Jon","Jonathan Benjamin",457754,1988-01-08
"810","Ross Detwiler","Mariners","2859","Detwiler","Ross","Ross Emery",446321,1986-03-06
"811","Brandon Mann","Rangers","5172","Mann","Brandon","Brandon Michael",448167,1984-05-16
"812","Trevor Gott","Nationals","15046","Gott","Trevor","Trevor Vaughan",641627,1992-08-26
"813","Kyle Martin","Red Sox","14860","Martin","Kyle","Kyle Jared",573016,1991-01-18
"814","Ranger Suarez","Phillies","17277","Suarez","Ranger","Ranger",624133,1995-08-26
"815","Jeff Ferrell","Tigers","11506",NA,NA,NA,NA,NA
"816","Ronald Herrera","Yankees","15688",NA,NA,NA,NA,NA
"817","Jake Buchanan","Reds","10962","Buchanan","Jake","Jake T.",594772,1989-09-24
"818","Deolis Guerra","Angels","8410","Guerra","Deolis","Deolis Alexander",500610,1989-04-17
"819","Vidal Nuno","Rays","9674","Nuno","Vidal","Vidal Vicente",573064,1987-07-26
"820","P.J. Conlon","Mets","18213","Conlon","P. J.","Patrick Joshua",664869,1993-11-11
"821","Merandy Gonzalez","Marlins","17313","Gonzalez","Merandy","Merandy",642571,1995-10-09
"822","Hunter Cervenka","Marlins","10510","Cervenka","Hunter","Colby Hunter",543017,1990-01-03
"823","Justin Miller","Nationals","8580","Miller","Justin","Justin Ryan",502522,1987-06-13
"824","Nick Tropeano","Angels","12385","Tropeano","Nick","Nicholas Paul",607374,1990-08-27
"825","Kevin McGowan","Mets","15215","McGowan","Kevin","Kevin Michael",641850,1991-10-18
"826","Justus Sheffield","Yankees","17285","Sheffield","Justus","Justus Kane",656954,1996-05-13
"827","Alejandro Chacin","Reds","13530","Chacin","Alejandro","David Alejandro",591701,1993-06-24
"828","Jeremy Guthrie","Nationals","2072",NA,NA,NA,NA,NA
"829","Henderson Alvarez","Phillies","5669","Alvarez","Henderson","Henderson Javier",506693,1990-04-18
"830","Francisco Arcia","Angels","10286","Arcia","Francisco","Francisco Antonio",516472,1989-09-14
"831","Jalen Beeks","- - -","17192","Beeks","Jalen","Jalen Christopher",656222,1993-07-10
"832","Drew Gagnon","Mets","12545","Gagnon","Drew","Andrew Miles",543193,1990-06-26
"833","Tayron Guerrero","Marlins","11691","Guerrero","Tayron","Tayron Luis",594027,1991-01-09
"834","Willians Astudillo","Twins","15608","Astudillo","Willians","Willians Jose",553902,1991-10-14
"835","Yacksel Rios","Phillies","15007","Rios","Yacksel","Yacksel",605441,1993-06-27
"836","Jimmy Yacabonis","Orioles","15157","Yacabonis","Jimmy","James Allin",642231,1992-03-21
"837","Miguel Castro","Orioles","15684","Castro","Miguel","Miguel Angel",612434,1994-12-24
"838","Jhan Marinez","- - -","5830","Marinez","Jhan","Jhan Carlos",501697,1988-08-12
"839","Jason Wheeler","Twins","13128","Wheeler","Jason","Jason McDonald",605528,1990-10-27
"840","Wes Parsons","Braves","14764","Parsons","Wes","Arthur Wesley",641149,1992-09-06
"841","Dovydas Neverauskas","Pirates","11604","Neverauskas","Dovydas","Dovydas",596720,1993-01-14
"842","Sam Moll","Athletics","14874","Moll","Sam","Samuel John",594580,1992-01-03
"843","Sean Gilmartin","Mets","12781","Gilmartin","Sean","Sean Patrick",543219,1990-05-08
"844","Cesar Valdez","- - -","9013","Valdez","Cesar","Cesar Miguel",491624,1985-03-17
"845","Luke Farrell","- - -","15101","Farrell","Luke","Luke Thomas",608652,1991-06-07
"846","Tyler Webb","- - -","14974","Webb","Tyler","Jon Tyler",643778,1990-07-20
"847","Chris Volstad","White Sox","9901","Volstad","Chris","Christopher Kenneth",458690,1986-09-23
"848","Dietrich Enns","Twins","13932","Enns","Dietrich","Dietrich",608650,1991-05-16
"849","Christian Bethancourt","Padres","10028","Bethancourt","Christian","Christian Gabriel",542194,1991-09-02
"850","Daniel Gossett","Athletics","16164","Gossett","Daniel","Daniel James",605254,1992-11-13
"851","Cionel Perez","Astros","19614","Perez","Cionel","Cionel Felix",672335,1996-04-21
"852","Brett Graves","Marlins","16218","Graves","Brett","Brett Thomas",605255,1993-01-30
"853","Aaron Blair","Braves","14934","Blair","Aaron","Aaron Daniel",594760,1992-05-26
"854","Williams Jerez","Angels","14338","Jerez","Williams","Williams Alexander",605301,1992-05-16
"855","Sandy Baez","Tigers","17754","Baez","Sandy","Sandy",622783,1993-11-25
"856","Tanner Anderson","Pirates","18029","Anderson","Tanner","Tanner Ackley",664196,1993-05-27
"857","Chris Rowley","Blue Jays","18820","Rowley","Chris","Christopher Ryan",635903,1990-08-14
"858","Zac Reininger","Tigers","15285","Reininger","Zac","Zachary Ryan",643617,1993-01-28
"859","Jose Reyes","Mets","1736","Reyes","Jose","Jose Bernabe",408314,1983-06-11
"860","Drew Storen","Reds","6983",NA,NA,NA,NA,NA
"861","Andres Machado","Royals","14681","Machado","Andres","Andres Eduardo",600921,1993-04-22
"862","Stephen Gonsalves","Twins","15492","Gonsalves","Stephen","Stephen William",624427,1994-07-08
"863","Simon Castro","Athletics","9243","Castro","Simon","Simon",501563,1988-04-09
"864","Hansel Robles","- - -","11801","Robles","Hansel","Hansel Manuel",570663,1990-08-13
"865","Kyle Ryan","Tigers","11753","Ryan","Kyle","Kyle",594986,1991-09-25
"866","Wilmer Font","Dodgers","5257","Font","Wilmer","Wilmer",521655,1990-05-24
"867","Evan Scribner","Mariners","7525","Scribner","Evan","Evan Lee",519267,1985-07-19
"868","Christian Bergman","Mariners","10925","Bergman","Christian","Christian Stanford",548357,1988-05-04
"869","Justin Shafer","Blue Jays","16132","Shafer","Justin","Justin Healy",596101,1992-09-18
"870","Alex Wimmers","Twins","11394","Wimmers","Alex","Alex Michael",592872,1988-11-01
"871","Jeff Beliveau","Blue Jays","8504","Beliveau","Jeff","Jeffrey Ryan",542924,1987-01-17
"872","Dan Runzler","Pirates","4080","Runzler","Dan","Daniel Joseph",502130,1985-03-30
"873","David Hale","- - -","9756","Hale","David","David E.",571735,1987-09-27
"874","Jose De Leon","Rays","15463",NA,NA,NA,NA,NA
"875","Kevin Plawecki","Mets","13807","Plawecki","Kevin","Kevin Jeffrey",608700,1991-02-26
"876","Carlos Torres","Nationals","7624","Torres","Carlos","Carlos Ephriam",448614,1982-10-22
"877","Buddy Boshers","Twins","8490","Boshers","Buddy","Jeffrey Alan",542953,1988-05-09
"878","Jeff Mathis","Diamondbacks","3448","Mathis","Jeff","Jeffrey Stephen",425772,1983-03-31
"879","Ryan Cook","Mariners","8855","Cook","Ryan","Ryan William",475857,1987-06-30
"880","Jacob Rhame","Mets","15267","Rhame","Jacob","Jacob Alan",642008,1993-03-16
"881","Clay Holmes","Pirates","13649","Holmes","Clay","Clayton Walter",605280,1993-03-27
"882","D.J. Snelten","Giants","15949","Snelten","D. J.","Donald Marek",592769,1992-05-29
"883","Hector Santiago","Twins","4026","Santiago","Hector","Hector Felipe",502327,1987-12-16
"884","Jose Valdez","Giants","14470","Valdez","Jose","Jose Alfredo",572308,1990-03-01
"885","Zack Littell","Twins","15823","Littell","Zack","Zack Stuart",641793,1995-10-05
"886","Jeff Brigham","Marlins","16631","Brigham","Jeff","Jeff John",656257,1992-02-16
"887","Onelki Garcia","Royals","13674","Garcia","Onelki","Onelki",607162,1989-08-02
"888","Kyle Wright","Braves","19665","Wright","Kyle","Kyle Hardy",657140,1995-10-02
"889","Michael Brady","Athletics","8461","Brady","Michael","Michael James",572728,1987-03-21
"890","John Lamb","Angels","8493","Lamb","John","John Michael",543424,1990-07-10
"891","Chance Adams","Yankees","18135","Adams","Chance","Chance",664856,1994-08-10
"892","Eric Stout","Royals","16873","Stout","Eric","Eric Joseph",657770,1993-03-27
"893","Ian Hamilton","White Sox","19261","Hamilton","Ian","Ian Francis",641656,1995-06-16
"894","Buddy Baumann","Padres","9309","Baumann","Buddy","George Charles",571473,1987-12-09
"895","Eric O'Flaherty","Braves","5746",NA,NA,NA,NA,NA
"896","Jordan Jankowski","Astros","13313","Jankowski","Jordan","Jordan Jacob",543357,1989-05-17
"897","Seth Maness","Royals","12235","Maness","Seth","Michael Seth",595307,1988-10-14
"898","J.P. Howell","Blue Jays","8245","Howell","J. P.","James Phillip",434442,1983-04-25
"899","Tom Wilhelmsen","Diamondbacks","9975","Wilhelmsen","Tom","Thomas Mark",452666,1983-12-16
"900","Michael Tonkin","Twins","10315","Tonkin","Michael","Michael Harvey",543859,1989-11-19
"901","Dillon Overton","- - -","15627","Overton","Dillon","Dillon Ray",592614,1991-08-17
"902","Jimmy Cordero","Nationals","15690","Cordero","Jimmy","Jimmy Gerard",622772,1991-10-19
"903","Josh Smoker","Mets","10285","Smoker","Josh","Joshua Michael",519294,1988-11-26
"904","Johnny Barbato","Pirates","11440","Barbato","Johnny","John Edward",592127,1992-07-11
"905","Grant Dayton","Dodgers","11203",NA,NA,NA,NA,NA
"906","Tyler Bashlor","Mets","15203","Bashlor","Tyler","Tyler Morris",641341,1993-04-16
"907","Josh Osich","Giants","11528","Osich","Josh","Joshua Michael",592612,1988-09-03
"908","Junichi Tazawa","Marlins","4079","Tazawa","Junichi","Junichi",547749,1986-06-06
"909","Logan Verrett","Orioles","12905","Verrett","Logan","Scott Logan",548337,1990-06-19
"910","Luke Bard","Angels","14288","Bard","Luke","Luke Francis",572703,1990-11-13
"911","Hisashi Iwakuma","Mariners","13048","Iwakuma","Hisashi","Hisashi",547874,1981-04-12
"912","Nik Turley","Twins","5530",NA,NA,NA,NA,NA
